City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,papatowai,-46.5619,169.4708,7.83,79,99,9.9,NZ,1688508369
231,dakhla,23.6848,-15.958,22.01,83,11,7.2,EH,1688508370
232,kendari,-3.945,122.4989,23.07,94,95,0.73,ID,1688508370
233,howrah,22.5892,88.3103,29.0,89,40,2.06,IN,1688508177
234,al mindak,20.1588,41.2834,25.78,34,100,0.42,SA,1688508370
235,jamestown,42.097,-79.2353,28.07,58,0,3.09,US,1688508216
236,hauterive,46.0901,3.4459,19.42,92,1,1.98,FR,1688508371
237,trairi,-3.2778,-39.2689,26.54,79,32,6.76,BR,1688508371
238,dhuusamarreeb,5.535,46.3861,24.44,65,96,10.02,SO,1688508371
239,sao joao da barra,-21.6403,-41.0511,18.05,63,88,2.35,BR,1688508372
240,buarcos,40.166,-8.8768,18.7,96,10,5.21,PT,1688508372
241,quarai,-30.3875,-56.4514,18.42,78,2,3.29,BR,1688508372
242,tazacorte,28.629,-17.9293,23.54,94,100,4.63,ES,1688508372
243,el calafate,-50.3408,-72.2768,-1.91,80,100,0.81,AR,1688508373
244,gazojak,41.1875,61.4036,27.91,28,0,3.23,TM,1688508373
245,baqubah,33.7485,44.6554,33.74,17,0,5.84,IQ,1688508373
246,luchegorsk,46.4764,134.2569,19.89,76,13,3.33,RU,1688508373
247,massawa,15.6097,39.45,32.88,53,21,2.4,ER,1688508373
248,cajamarca,-7.1638,-78.5003,21.04,37,20,3.6,PE,1688508137
249,belomorsk,64.5232,34.7668,11.16,89,95,3.89,RU,1688508374
250,ust'-kulom,61.6864,53.6902,12.72,81,10,1.88,RU,1688508374
251,ringim,12.1548,9.1619,27.63,63,86,5.33,NG,1688508374
252,bubaque,11.2833,-15.8333,27.69,79,97,6.39,GW,1688508374
253,arteche,12.2645,125.4048,26.56,86,100,2.73,PH,1688508375
254,taber,49.8167,-112.1518,21.47,37,63,2.06,CA,1688508375
255,palikir - national government center,6.9248,158.1611,30.41,70,40,2.06,FM,1688508375
256,polyarnyy,69.1989,33.4478,10.42,97,99,3.01,RU,1688508375
257,tofol,5.3248,163.0078,28.58,76,98,7.64,FM,1688508375
258,salym,60.0625,71.4789,19.35,82,39,2.13,RU,1688508376
259,tucurui,-3.7661,-49.6725,27.25,67,47,1.81,BR,1688508185
260,calca,-13.3333,-71.95,23.64,50,6,2.13,PE,1688508377
261,ternate,0.8,127.4,26.91,77,96,2.3,ID,1688508239
262,xishan,27.6667,113.5,25.06,97,100,0.79,CN,1688508378
263,aasiaat,68.7098,-52.8699,3.03,97,100,4.12,GL,1688508332
264,ivdel',60.6911,60.4206,16.58,73,47,1.71,RU,1688508378
265,san antonio de pale,-1.4014,5.6325,23.95,83,100,3.83,GQ,1688508379
266,finley,46.154,-119.0339,34.92,18,0,2.06,US,1688508380
267,thunder bay,48.4001,-89.3168,25.99,41,100,4.63,CA,1688508380
268,oyem,1.5995,11.5793,19.71,98,92,1.25,GA,1688508380
269,atafu village,-8.5421,-172.5159,28.41,77,21,7.62,TK,1688508381
270,la asuncion,11.0333,-63.8628,30.85,70,100,5.66,VE,1688508381
271,vila franca do campo,37.7167,-25.4333,20.23,79,99,1.75,PT,1688508382
272,limulunga,-15.0969,23.1376,12.92,49,0,2.52,ZM,1688508382
273,alesund,62.4723,6.1549,11.85,78,75,1.03,NO,1688508382
274,arraial do cabo,-22.9661,-42.0278,16.92,88,20,1.54,BR,1688508383
275,south hedland,-20.4089,118.5983,10.96,87,10,3.6,AU,1688508383
276,surin,14.8818,103.4936,26.06,99,98,1.26,TH,1688508383
277,fereydun kenar,36.6864,52.5225,25.45,72,35,1.61,IR,1688508383
278,visby,57.6409,18.296,14.9,77,81,7.2,SE,1688508383
279,hasaki,35.7333,140.8333,25.12,82,15,2.21,JP,1688508384
280,totskoye,52.5248,52.7623,21.32,69,73,1.28,RU,1688508384
281,aldinga beach,-35.2793,138.4604,11.78,87,76,6.05,AU,1688508384
282,petrov val,50.1434,45.2096,20.82,81,4,2.52,RU,1688508384
283,conduaga,8.862,117.4893,25.53,89,100,1.16,PH,1688508384
284,salinopolis,-0.6136,-47.3561,25.99,85,17,3.92,BR,1688508385
285,ascension,30.2169,-90.9001,33.44,69,0,2.57,US,1688508385
286,san cristobal,7.7669,-72.225,25.1,58,100,1.52,VE,1688508385
287,island harbour,50.724,-1.2758,13.32,93,100,5.36,GB,1688508385
288,santa cruz,-17.8,-63.1667,26.03,65,20,7.72,BO,1688508217
